*CREATOR
msr_cutter.exe,[V5.28.00]
msr2csv.exe,[V5.28.00]

*STARTTIME
6/30/2016,10:34:52 AM,

*MODUL
NAME,MSR308918,MSR308918,MSR308918,MSR308918,MSR308918
*NAME
NAME,FH Logger,FH Logger,FH Logger,FH Logger,FH Logger

ID,[C26113 V5.24],[C26113 V5.24],[C26113 V5.24],[C26113 V5.24],[C26113 V5.24]

*CHANNEL
TIME,p,T_p,RH,T_RH,T

*UNIT
,mbar,°C,%,°C,°C

*LIMITS
ALARM,,,,,
RECRD,,,,,
LIMIT1,,,,,
LIMIT2,,,,,

*DATA
6/30/2016 10:34:52 AM.719,995.3,27.2000007629395,53.1,24.8500003814697,24.4
6/30/2016 10:34:53 AM.719,995.3,27.2000007629395,53.1,24.8600006103516,24.4
6/30/2016 10:34:54 AM.719,995.2,27.2000007629395,53.2,24.8500003814697,24.4
6/30/2016 10:34:55 AM.719,995.1,27.2000007629395,53.2,24.8400001525879,24.4
6/30/2016 10:34:56 AM.719,995.2,27.2000007629395,53.3,24.8400001525879,24.4
6/30/2016 10:34:57 AM.719,995.3,27.1000003814697,53.3,24.8400001525879,24.4
6/30/2016 10:34:58 AM.719,995.2,27.1000003814697,53.3,24.8299999237061,24.4
6/30/2016 10:34:59 AM.719,995.2,27.1000003814697,53.5,24.8299999237061,24.4
6/30/2016 10:35:00 AM.719,995.2,27.1000003814697,53.5,24.8400001525879,24.4
6/30/2016 10:35:01 AM.719,995.3,27.1000003814697,53.6,24.8400001525879,24.4
6/30/2016 10:35:02 AM.719,995.2,27.1000003814697,53.7,24.8600006103516,24.5
6/30/2016 10:35:03 AM.719,995.1,27.1000003814697,53.8,24.8899993896484,24.5
6/30/2016 10:35:04 AM.719,995.2,27.1000003814697,53.8,24.8799991607666,24.5
6/30/2016 10:35:05 AM.719,995.3,27.1000003814697,53.8,24.8799991607666,24.5
6/30/2016 10:35:06 AM.719,995.2,27.1000003814697,53.8,24.8799991607666,24.6
6/30/2016 10:35:07 AM.719,995.1,27.1000003814697,53.8,24.8899993896484,24.6
6/30/2016 10:35:08 AM.719,995.2,27.1000003814697,53.7,24.8999996185303,24.6
6/30/2016 10:35:09 AM.719,995.2,27,53.7,24.9200000762939,24.6
6/30/2016 10:35:10 AM.719,995.2,27,53.6,24.8999996185303,24.6
6/30/2016 10:35:11 AM.719,995.2,27.1000003814697,53.5,24.8999996185303,24.6
6/30/2016 10:35:12 AM.719,995.2,27,53.5,24.8899993896484,24.6
6/30/2016 10:35:13 AM.719,995.1,27,53.4,24.8899993896484,24.6
6/30/2016 10:35:14 AM.719,995.1,27,53.3,24.9200000762939,24.6
6/30/2016 10:35:15 AM.719,995.0,27,53.2,24.9099998474121,24.6
6/30/2016 10:35:16 AM.719,995.1,27,53.1,24.9200000762939,24.6
6/30/2016 10:35:17 AM.719,995.2,27,53.1,24.8999996185303,24.6
6/30/2016 10:35:18 AM.719,995.1,26.8999996185303,53.1,24.9200000762939,24.6
6/30/2016 10:35:19 AM.719,995.1,26.8999996185303,53.2,24.9099998474121,24.6
6/30/2016 10:35:20 AM.719,995.0,26.8999996185303,53.2,24.9200000762939,24.6
6/30/2016 10:35:21 AM.719,995.1,26.8999996185303,53.2,24.9300003051758,24.6
6/30/2016 10:35:22 AM.719,995.1,26.8999996185303,53.2,24.9200000762939,24.7
6/30/2016 10:35:23 AM.719,995.1,26.8999996185303,53.2,24.9300003051758,24.7
6/30/2016 10:35:24 AM.719,995.2,26.7999992370605,53.2,24.9400005340576,24.7
6/30/2016 10:35:25 AM.719,995.1,26.7999992370605,53.2,24.9400005340576,24.7
6/30/2016 10:35:26 AM.719,995.1,26.7999992370605,53.2,24.9599990844727,24.7
6/30/2016 10:35:27 AM.719,995.1,26.7999992370605,53.1,24.9500007629395,24.7
6/30/2016 10:35:28 AM.719,995.2,26.7999992370605,53.1,24.9699993133545,24.7
6/30/2016 10:35:29 AM.719,995.2,26.7999992370605,53.1,24.9699993133545,24.7
6/30/2016 10:35:30 AM.719,995.2,26.7999992370605,53.0,24.9599990844727,24.6
6/30/2016 10:35:31 AM.719,995.2,26.7999992370605,53.0,24.9599990844727,24.6
6/30/2016 10:35:32 AM.719,995.1,26.7999992370605,53.0,24.9799995422363,24.6
6/30/2016 10:35:33 AM.719,995.1,26.7000007629395,53.0,24.9599990844727,24.6
6/30/2016 10:35:34 AM.719,995.1,26.7999992370605,53.0,24.9599990844727,24.6
6/30/2016 10:35:35 AM.719,995.2,26.7000007629395,53.0,24.9599990844727,24.6
